id,segment,RID,delivery type,class,sub-class,no of items,location,departure city,departure state,address code,placement date,delivery date,price,discount,profit
1390,Home Office,4002,Standard Class,fynota,chocolates,5,West,Seattle,Washington,98115,01-10-2018,01-10-2018,345,0,58.65
1391,Consumer,4168,First Class,kariox,laptop,4,West,Pasadena,California,91104,01-10-2018,01-10-2018,31.92,0,8.2992
1392,Consumer,4169,First Class,qexty,tshirts,2,West,Pasadena,California,91104,01-10-2018,01-10-2018,433.568,0.2,-65.0352
1393,Corporate,5928,Standard Class,kariox,tablet,1,South,Fayetteville,Arkansas,72701,01-10-2018,01-10-2018,7.31,0,3.4357
1394,Corporate,5929,Standard Class,qexty,shorts,4,South,Fayetteville,Arkansas,72701,01-10-2018,01-10-2018,8.92,0,3.9248
1395,Consumer,6215,Standard Class,kariox,watch,1,West,Redondo Beach,California,90278,01-10-2018,01-10-2018,7.64,0,3.7436
1396,Consumer,82,Standard Class,kariox,television,5,West,San Francisco,California,94122,01-10-2018,01-10-2018,14.9,0,4.172
1397,Consumer,3267,Standard Class,kariox,watch,3,East,Philadelphia,Pennsylvania,19120,01-10-2018,01-10-2018,201.432,0.2,67.9833
1398,Corporate,3400,Standard Class,kariox,phone,6,South,Richmond,Kentucky,40475,01-11-2018,01-11-2018,629.1,0,301.968
1399,Corporate,3399,Standard Class,fynota,colddrinks,1,South,Richmond,Kentucky,40475,01-11-2018,01-11-2018,36.99,0,9.9873
1400,Corporate,7554,Standard Class,kariox,phone,4,East,New York City,New York,10024,01-11-2018,01-11-2018,25.92,0,12.4416
1401,Corporate,7553,Standard Class,kariox,headset,3,East,New York City,New York,10024,01-11-2018,01-11-2018,12.96,0.2,4.536
1402,Corporate,7552,Standard Class,fynota,colddrinks,6,East,New York City,New York,10024,01-11-2018,01-11-2018,833.94,0,216.8244
1403,Corporate,7551,Standard Class,kariox,watch,3,East,New York City,New York,10024,01-11-2018,01-11-2018,34.74,0,17.37
1404,Home Office,9736,Second Class,kariox,phone,1,East,Philadelphia,Pennsylvania,19134,01-11-2018,01-11-2018,5.88,0.2,1.9845
1405,Corporate,5395,Standard Class,qexty,pants,6,East,Wilmington,Delaware,19805,01-11-2018,01-11-2018,1025.88,0,235.9524
1406,Consumer,9648,Standard Class,kariox,laptop,4,Central,Coon Rapids,Minnesota,55433,01-11-2018,01-11-2018,221.16,0,57.5016
1407,Consumer,8973,First Class,fynota,chocolates,1,East,Philadelphia,Pennsylvania,19120,01-11-2018,01-11-2018,47.496,0.2,-1.1874
1408,Home Office,7868,Second Class,kariox,phone,3,West,Salt Lake City,Utah,84106,01-11-2018,01-11-2018,166.44,0,79.8912
1409,Corporate,5394,Standard Class,kariox,headset,7,East,Wilmington,Delaware,19805,01-11-2018,01-11-2018,213.08,0,102.2784
1410,Corporate,5393,Standard Class,kariox,tablet,2,East,Wilmington,Delaware,19805,01-11-2018,01-11-2018,9.96,0,4.5816
1411,Corporate,5392,Standard Class,kariox,tablet,6,East,Wilmington,Delaware,19805,01-11-2018,01-11-2018,22.5,0,10.8
1412,Consumer,2493,Standard Class,fynota,colddrinks,7,East,Jamestown,New York,14701,01-11-2018,01-11-2018,4548.81,0,1228.1787
1413,Consumer,9649,Standard Class,fynota,colddrinks,3,Central,Coon Rapids,Minnesota,55433,01-11-2018,01-11-2018,281.97,0,78.9516
1414,Corporate,3401,Standard Class,kariox,laptop,3,South,Richmond,Kentucky,40475,01-11-2018,01-11-2018,193.95,0,9.6975
1415,Home Office,2084,Standard Class,kariox,tablet,2,Central,Houston,Texas,77036,01-11-2018,01-11-2018,23.68,0.2,8.88
1416,Corporate,4499,Standard Class,kariox,phone,2,West,San Francisco,California,94110,01-11-2018,01-11-2018,12.96,0,6.2208
1417,Home Office,185,Second Class,fynota,chocolates,2,South,Monroe,Louisiana,71203,01-11-2018,01-11-2018,29,0,7.25
1418,Consumer,1574,First Class,qexty,tshirts,2,West,Los Angeles,California,90004,01-11-2018,01-11-2018,381.44,0.2,23.84
1419,Consumer,1573,First Class,fynota,chocolates,1,West,Los Angeles,California,90004,01-11-2018,01-11-2018,29.99,0,6.2979
1420,Consumer,1572,First Class,kariox,watch,3,West,Los Angeles,California,90004,01-11-2018,01-11-2018,21.84,0,10.4832
1421,Consumer,1571,First Class,qexty,tshirts,5,West,Los Angeles,California,90004,01-11-2018,01-11-2018,603.92,0.2,-67.941
1422,Corporate,6806,First Class,kariox,phone,2,South,Atlanta,Georgia,30318,01-11-2018,01-11-2018,9.96,0,4.8804
1423,Consumer,3971,Standard Class,kariox,phone,9,West,Los Angeles,California,90036,01-11-2018,01-11-2018,53.82,0,24.219
1424,Home Office,3895,Standard Class,kariox,headset,5,Central,Bolingbrook,Illinois,60440,01-11-2018,01-11-2018,9.98,0.8,-16.467
1425,Consumer,3394,First Class,kariox,headset,1,Central,Pasadena,Texas,77506,01-11-2018,01-11-2018,6.928,0.8,-11.0848
1426,Corporate,2578,Standard Class,kariox,battery,3,South,Columbus,Georgia,31907,01-11-2018,01-11-2018,675.12,0,290.3016
1427,Corporate,2577,Standard Class,kariox,watch,2,South,Columbus,Georgia,31907,01-11-2018,01-11-2018,11.36,0,5.3392
1428,Corporate,2576,Standard Class,kariox,headset,5,South,Columbus,Georgia,31907,01-11-2018,01-11-2018,319.9,0,156.751
1429,Corporate,2575,Standard Class,kariox,watch,3,South,Columbus,Georgia,31907,01-11-2018,01-11-2018,16.23,0,7.9527
1430,Home Office,7741,Standard Class,fynota,chocolates,1,West,San Francisco,California,94110,01-11-2018,01-11-2018,94.99,0,28.497
1431,Home Office,7740,Standard Class,kariox,phone,2,West,San Francisco,California,94110,01-11-2018,01-11-2018,6.58,0,3.0268
1432,Corporate,5344,Standard Class,fynota,colddrinks,5,Central,Dallas,Texas,75220,01-11-2018,01-11-2018,267.96,0.2,16.7475
1433,Corporate,5343,Standard Class,kariox,watch,1,Central,Dallas,Texas,75220,01-11-2018,01-11-2018,1.632,0.2,0.5508
1434,Corporate,3402,Standard Class,kariox,television,3,South,Richmond,Kentucky,40475,01-11-2018,01-11-2018,5.46,0,1.4742
1435,Home Office,184,Second Class,fynota,colddrinks,5,South,Monroe,Louisiana,71203,01-11-2018,01-11-2018,149.95,0,41.986
1436,Consumer,2439,Second Class,kariox,phone,4,West,Louisville,Colorado,80027,01-11-2018,01-11-2018,35.808,0.2,12.5328
1437,Corporate,9638,Standard Class,qexty,hoodies,4,West,Seattle,Washington,98105,01-11-2018,01-11-2018,730.2,0,94.926
1438,Consumer,6023,Standard Class,kariox,watch,3,Central,Cedar Hill,Texas,75104,01-11-2018,01-11-2018,7.08,0.2,2.478
1439,Consumer,3603,Standard Class,qexty,tshirts,5,East,Philadelphia,Pennsylvania,19143,01-11-2018,01-11-2018,657.93,0.3,-93.99
1440,Consumer,3602,Standard Class,kariox,phone,2,East,Philadelphia,Pennsylvania,19143,01-11-2018,01-11-2018,12.448,0.2,3.89
1441,Corporate,3264,First Class,kariox,battery,3,West,San Francisco,California,94109,01-11-2018,01-11-2018,241.44,0,72.432
1442,Corporate,3263,First Class,kariox,phone,7,West,San Francisco,California,94109,01-11-2018,01-11-2018,733.95,0,352.296
1443,Corporate,3262,First Class,fynota,chocolates,2,West,San Francisco,California,94109,01-11-2018,01-11-2018,99.98,0,7.9984
1444,Corporate,3073,Standard Class,kariox,television,5,East,Newark,Delaware,19711,01-11-2018,01-11-2018,57.75,0,26.565
1445,Consumer,6535,Standard Class,kariox,headset,3,East,Buffalo,New York,14215,01-11-2018,01-11-2018,2152.776,0.2,726.5619
1446,Corporate,3072,Standard Class,qexty,shorts,3,East,Newark,Delaware,19711,01-11-2018,01-11-2018,124.41,0,14.9292
1447,Home Office,2093,Standard Class,qexty,tshirts,5,Central,Moorhead,Minnesota,56560,01-11-2018,01-11-2018,479.9,0,81.583
1448,Corporate,8711,First Class,kariox,laptop,3,West,Los Angeles,California,90008,01-11-2018,01-11-2018,344.91,0,10.3473
1449,Corporate,8710,First Class,qexty,pants,3,West,Los Angeles,California,90008,01-11-2018,01-11-2018,305.9745,0.15,25.1979
1450,Corporate,8709,First Class,fynota,colddrinks,4,West,Los Angeles,California,90008,01-11-2018,01-11-2018,79.968,0.2,-17.9928
1451,Consumer,5304,Standard Class,qexty,tshirts,2,Central,Decatur,Illinois,62521,01-11-2018,01-11-2018,37.296,0.3,-1.0656
1452,Corporate,4983,Standard Class,kariox,tablet,2,West,Huntington Beach,California,92646,01-11-2018,01-11-2018,5.22,0,2.4012
1453,Corporate,3708,Standard Class,qexty,shorts,2,Central,Mesquite,Texas,75150,01-11-2018,01-11-2018,6.368,0.6,-2.5472
1454,Corporate,3071,Standard Class,kariox,laptop,7,East,Newark,Delaware,19711,01-11-2018,01-11-2018,2934.33,0,792.2691
1455,Home Office,183,Second Class,fynota,colddrinks,4,South,Monroe,Louisiana,71203,01-11-2018,01-11-2018,503.96,0,131.0296
1456,Consumer,6536,Standard Class,qexty,pants,10,East,Buffalo,New York,14215,01-11-2018,01-11-2018,4007.84,0.2,-50.098
1457,Consumer,2438,Second Class,qexty,hoodies,2,West,Louisville,Colorado,80027,01-11-2018,01-11-2018,145.98,0.5,-99.2664
1458,Corporate,9637,Standard Class,qexty,shorts,2,West,Seattle,Washington,98105,01-11-2018,01-11-2018,137.54,0,55.016
1459,Corporate,9285,Standard Class,qexty,tshirts,3,Central,Franklin,Wisconsin,53132,01-11-2018,01-11-2018,392.94,0,43.2234
1460,Corporate,8844,Second Class,kariox,laptop,5,Central,Minneapolis,Minnesota,55407,01-11-2018,01-11-2018,67.15,0,16.7875
1461,Consumer,7303,First Class,kariox,laptop,5,Central,Des Plaines,Illinois,60016,01-11-2018,01-11-2018,381.72,0.2,-66.801
1462,Consumer,7302,First Class,kariox,headset,3,Central,Des Plaines,Illinois,60016,01-11-2018,01-11-2018,2.892,0.8,-4.9164
1463,Consumer,7301,First Class,qexty,pants,6,Central,Des Plaines,Illinois,60016,01-11-2018,01-11-2018,424.116,0.3,-30.294
1464,Consumer,7300,First Class,qexty,shorts,2,Central,Des Plaines,Illinois,60016,01-11-2018,01-11-2018,8.544,0.6,-7.476
1465,Home Office,9461,Second Class,kariox,phone,3,East,New York City,New York,10024,01-11-2018,01-11-2018,34.44,0,17.22
1466,Consumer,7299,First Class,qexty,hoodies,4,Central,Des Plaines,Illinois,60016,01-11-2018,01-11-2018,292.1,0.5,-175.26
1467,Consumer,4908,Second Class,kariox,headset,8,East,Fairfield,Ohio,45014,01-11-2018,01-11-2018,11.808,0.7,-8.6592
1468,Corporate,4131,Standard Class,kariox,headset,5,Central,Chicago,Illinois,60623,01-11-2018,01-11-2018,14.48,0.8,-23.892
1469,Consumer,3304,Standard Class,kariox,headset,3,East,Philadelphia,Pennsylvania,19140,01-11-2018,01-11-2018,1.944,0.7,-1.4256
1470,Consumer,3303,Standard Class,qexty,shorts,3,East,Philadelphia,Pennsylvania,19140,01-11-2018,01-11-2018,60.312,0.2,5.2773
1471,Consumer,3302,Standard Class,fynota,colddrinks,6,East,Philadelphia,Pennsylvania,19140,01-11-2018,01-11-2018,539.964,0.4,-107.9928
1472,Consumer,3301,Standard Class,kariox,laptop,1,East,Philadelphia,Pennsylvania,19140,01-11-2018,01-11-2018,76.792,0.2,-16.3183
1473,Consumer,3300,Standard Class,kariox,headset,1,East,Philadelphia,Pennsylvania,19140,01-11-2018,01-11-2018,50.997,0.7,-40.7976
1474,Corporate,5396,Second Class,kariox,phone,7,West,Provo,Utah,84604,01-11-2018,01-11-2018,21.98,0,9.891
1475,Corporate,3709,Standard Class,kariox,battery,3,Central,Mesquite,Texas,75150,01-11-2018,01-11-2018,34.176,0.8,-87.1488
1476,Consumer,7622,Standard Class,qexty,tshirts,4,West,Los Angeles,California,90004,01-11-2018,01-11-2018,725.344,0.2,54.4008
1477,Corporate,4809,Standard Class,kariox,watch,3,East,Philadelphia,Pennsylvania,19134,01-11-2018,01-11-2018,62.808,0.2,21.1977
1478,Consumer,3952,Second Class,kariox,headset,2,East,Freeport,New York,11520,01-11-2018,01-11-2018,17.248,0.2,6.0368
1479,Consumer,2198,Standard Class,kariox,television,3,South,Montgomery,Alabama,36116,01-11-2018,01-12-2018,14.67,0,3.9609
1480,Corporate,9428,Standard Class,qexty,shorts,5,East,Buffalo,New York,14215,01-11-2018,01-12-2018,199.9,0,39.98
1481,Consumer,1486,Standard Class,kariox,lighting,2,East,New York City,New York,10035,01-11-2018,01-12-2018,3.76,0,1.316
1482,Corporate,8602,Standard Class,kariox,headset,1,West,Fresno,California,93727,01-11-2018,01-12-2018,7.312,0.2,2.5592
1483,Corporate,8601,Standard Class,kariox,battery,2,West,Fresno,California,93727,01-11-2018,01-12-2018,40.54,0,11.3512
1484,Corporate,8600,Standard Class,kariox,phone,3,West,Fresno,California,93727,01-11-2018,01-12-2018,14.94,0,7.0218
1485,Corporate,5193,Second Class,qexty,shorts,5,South,Columbia,South Carolina,29203,01-11-2018,01-12-2018,397.6,0,43.736
1486,Corporate,8599,Standard Class,kariox,headset,3,West,Fresno,California,93727,01-11-2018,01-12-2018,4.32,0.2,1.512
1487,Consumer,5819,Same Day,kariox,tablet,9,East,Utica,New York,13501,01-11-2018,01-11-2018,93.15,0,44.712
1488,Consumer,5818,Same Day,kariox,headset,4,East,Utica,New York,13501,01-11-2018,01-11-2018,17.088,0.2,5.7672
1489,Consumer,5817,Same Day,kariox,headset,3,East,Utica,New York,13501,01-11-2018,01-11-2018,12.912,0.2,4.6806
1490,Consumer,5816,Same Day,fynota,colddrinks,4,East,Utica,New York,13501,01-11-2018,01-11-2018,279.96,0,78.3888
1491,Home Office,5229,Standard Class,kariox,phone,2,West,San Francisco,California,94109,01-11-2018,01-12-2018,81.98,0,40.1702
1492,Consumer,1638,Standard Class,fynota,colddrinks,4,West,Tigard,Oregon,97224,01-11-2018,01-12-2018,438.336,0.2,-87.6672
1493,Consumer,1637,Standard Class,kariox,laptop,5,West,Tigard,Oregon,97224,01-11-2018,01-12-2018,669.08,0.2,-167.27
1494,Consumer,5820,Same Day,kariox,tablet,4,East,Utica,New York,13501,01-11-2018,01-11-2018,11.52,0,5.6448
1495,Consumer,1636,Standard Class,kariox,phone,3,West,Tigard,Oregon,97224,01-11-2018,01-12-2018,15.552,0.2,5.4432
1496,Corporate,5194,Second Class,kariox,phone,7,South,Columbia,South Carolina,29203,01-11-2018,01-12-2018,85.96,0,40.4012
1497,Corporate,5196,Second Class,kariox,headset,3,South,Columbia,South Carolina,29203,01-11-2018,01-12-2018,45.66,0,22.3734
1498,Consumer,9196,Standard Class,fynota,chocolates,4,West,Avondale,Arizona,85323,01-11-2018,01-12-2018,102.24,0.2,-16.614
1499,Consumer,9195,Standard Class,kariox,charger,7,West,Avondale,Arizona,85323,01-11-2018,01-12-2018,47.992,0.2,3.5994
1500,Corporate,7616,Standard Class,kariox,headset,9,South,Orlando,Florida,32839,01-11-2018,01-12-2018,6.642,0.7,-4.428
1501,Consumer,4216,Standard Class,kariox,watch,4,East,Mount Vernon,New York,10550,01-11-2018,01-12-2018,62.28,0,29.2716
1502,Consumer,7786,Standard Class,kariox,tablet,2,East,New York City,New York,10009,01-11-2018,01-12-2018,25.06,0,11.7782
1503,Consumer,4417,Standard Class,kariox,lighting,5,West,San Francisco,California,94122,01-11-2018,01-12-2018,30.4,0,15.2
1504,Consumer,4416,Standard Class,fynota,colddrinks,2,West,San Francisco,California,94122,01-11-2018,01-12-2018,575.92,0.2,71.99
1505,Corporate,5195,Second Class,kariox,television,4,South,Columbia,South Carolina,29203,01-11-2018,01-12-2018,13.12,0,4.3296
1506,Corporate,1643,Standard Class,kariox,lighting,2,Central,Skokie,Illinois,60076,01-11-2018,01-12-2018,12.624,0.2,3.945
1507,Corporate,9677,Standard Class,kariox,watch,6,Central,Richmond,Indiana,47374,01-11-2018,01-12-2018,64.02,0,29.4492
1508,Consumer,8573,Standard Class,fynota,sweets,5,Central,Houston,Texas,77041,01-11-2018,01-12-2018,998.85,0.4,-199.77
1509,Consumer,5550,First Class,fynota,chocolates,7,West,San Francisco,California,94109,01-11-2018,01-12-2018,139.93,0,34.9825
1510,Consumer,5549,First Class,kariox,battery,3,West,San Francisco,California,94109,01-11-2018,01-12-2018,43.68,0,11.7936
1511,Home Office,5495,Same Day,qexty,pants,4,West,San Francisco,California,94122,01-11-2018,01-11-2018,411.332,0.15,-4.8392
1512,Home Office,5494,Same Day,kariox,tablet,4,West,San Francisco,California,94122,01-11-2018,01-11-2018,41.4,0,19.872
1513,Home Office,5493,Same Day,kariox,charger,2,West,San Francisco,California,94122,01-11-2018,01-11-2018,7.36,0,0.1472
1514,Consumer,1490,Standard Class,kariox,tablet,2,East,Philadelphia,Pennsylvania,19143,01-11-2018,01-12-2018,5.04,0.2,1.764
1515,Corporate,3710,Standard Class,fynota,chocolates,7,Central,Mesquite,Texas,75150,01-11-2018,01-11-2018,5.544,0.2,1.6632
1516,Consumer,79,Second Class,qexty,shorts,5,Central,Houston,Texas,77070,01-11-2018,01-12-2018,19.3,0.6,-14.475
1517,Home Office,4448,Standard Class,kariox,laptop,5,Central,Bloomington,Indiana,47401,01-11-2018,01-11-2018,169.45,0,42.3625
1518,Consumer,5017,Standard Class,fynota,colddrinks,4,East,Toledo,Ohio,43615,01-11-2018,01-11-2018,1502.376,0.4,-250.396
1519,Consumer,5016,Standard Class,qexty,shorts,7,East,Toledo,Ohio,43615,01-11-2018,01-11-2018,35.168,0.2,9.6712
1520,Consumer,4058,Standard Class,kariox,laptop,5,Central,Chicago,Illinois,60610,01-11-2018,01-11-2018,646.2,0.2,-8.0775
1521,Corporate,3835,Same Day,qexty,tshirts,3,East,Columbus,Ohio,43229,01-11-2018,01-11-2018,611.058,0.3,-34.9176
1522,Corporate,3834,Same Day,fynota,colddrinks,5,East,Columbus,Ohio,43229,01-11-2018,01-11-2018,1049.97,0.4,-209.994
1523,Consumer,2367,Second Class,qexty,tshirts,1,West,Sacramento,California,95823,01-11-2018,01-11-2018,120.712,0.2,-18.1068
1524,Consumer,2152,Second Class,fynota,chocolates,7,Central,Saint Louis,Missouri,63116,01-11-2018,01-11-2018,111.79,0,43.5981
1525,Corporate,6315,Standard Class,kariox,television,4,Central,Jackson,Michigan,49201,01-11-2018,01-11-2018,151.92,0,45.576
1526,Corporate,1188,Standard Class,kariox,laptop,2,West,Seattle,Washington,98103,01-11-2018,01-11-2018,197.58,0,53.3466
1527,Corporate,1186,Standard Class,kariox,laptop,6,West,Seattle,Washington,98103,01-11-2018,01-11-2018,485.88,0,9.7176
1528,Corporate,1185,Standard Class,kariox,headset,7,West,Seattle,Washington,98103,01-11-2018,01-11-2018,12.096,0.2,4.2336
1529,Consumer,1011,First Class,qexty,shorts,4,West,San Diego,California,92037,01-11-2018,01-11-2018,151.72,0,27.3096
1530,Consumer,389,First Class,kariox,television,1,East,Cincinnati,Ohio,45231,01-11-2018,01-11-2018,2.624,0.2,0.4264
1531,Consumer,9628,Standard Class,kariox,headset,3,Central,Detroit,Michigan,48227,01-11-2018,01-11-2018,14.67,0,6.7482
1532,Corporate,7266,Second Class,qexty,tshirts,2,Central,Houston,Texas,77095,01-11-2018,01-11-2018,155.372,0.3,-35.5136
1533,Consumer,7101,Standard Class,kariox,watch,3,West,Scottsdale,Arizona,85254,01-11-2018,01-11-2018,23.472,0.2,8.802
1534,Corporate,1187,Standard Class,kariox,phone,4,West,Seattle,Washington,98103,01-11-2018,01-11-2018,25.92,0,12.4416
1535,Consumer,7623,Standard Class,kariox,television,3,West,Los Angeles,California,90004,01-11-2018,01-11-2018,7.44,0,2.604
1536,Corporate,6316,Standard Class,kariox,tablet,2,Central,Jackson,Michigan,49201,01-11-2018,01-11-2018,196.62,0,96.3438
1537,Corporate,6318,Standard Class,kariox,phone,2,Central,Jackson,Michigan,49201,01-11-2018,01-11-2018,15.96,0,7.98
1538,Consumer,7621,Standard Class,fynota,colddrinks,5,West,Los Angeles,California,90004,01-11-2018,01-11-2018,539.92,0.2,47.243
1539,Consumer,6362,Standard Class,kariox,television,7,West,Springfield,Oregon,97477,01-11-2018,01-11-2018,51.016,0.2,8.2901
1540,Home Office,4728,Second Class,qexty,pants,3,East,New York City,New York,10009,01-11-2018,01-11-2018,275.952,0.2,-37.9434
1541,Home Office,4727,Second Class,kariox,laptop,4,East,New York City,New York,10009,01-11-2018,01-11-2018,1117.92,0,55.896
1542,Consumer,3990,Second Class,qexty,shorts,2,East,Woonsocket,Rhode Island,2895,01-11-2018,01-11-2018,52.96,0,20.1248
1543,Corporate,2613,Standard Class,qexty,shorts,3,Central,Arlington,Texas,76017,01-11-2018,01-11-2018,6.096,0.6,-3.9624
1544,Corporate,2612,Standard Class,kariox,phone,3,Central,Arlington,Texas,76017,01-11-2018,01-11-2018,15.696,0.2,5.1012
1545,Corporate,6317,Standard Class,kariox,phone,3,Central,Jackson,Michigan,49201,01-11-2018,01-11-2018,144.12,0,69.1776
1546,Corporate,2611,Standard Class,kariox,tablet,2,Central,Arlington,Texas,76017,01-11-2018,01-11-2018,5.904,0.2,1.9926
1547,Corporate,2609,Standard Class,kariox,tablet,1,Central,Arlington,Texas,76017,01-11-2018,01-11-2018,2.52,0.2,0.882
1548,Corporate,2608,Standard Class,fynota,chocolates,3,Central,Arlington,Texas,76017,01-11-2018,01-11-2018,24.672,0.2,0
1549,Corporate,1986,Second Class,kariox,phone,4,West,Brentwood,California,94513,01-11-2018,01-11-2018,26.76,0,12.3096
1550,Corporate,1985,Second Class,qexty,shorts,3,West,Brentwood,California,94513,01-11-2018,01-11-2018,23.88,0,10.5072
1551,Corporate,1984,Second Class,kariox,battery,6,West,Brentwood,California,94513,01-11-2018,01-11-2018,320.88,0,93.0552
1552,Home Office,9922,Standard Class,kariox,headset,3,East,Akron,Ohio,44312,01-11-2018,01-11-2018,5.742,0.7,-4.5936
1553,Home Office,7143,Standard Class,qexty,shorts,5,South,Virginia Beach,Virginia,23464,01-11-2018,01-11-2018,111.15,0,48.906
1554,Corporate,2610,Standard Class,qexty,hoodies,5,Central,Arlington,Texas,76017,01-11-2018,01-11-2018,1218.735,0.3,-121.8735
1555,Home Office,4447,Standard Class,kariox,headset,4,Central,Bloomington,Indiana,47401,01-11-2018,01-11-2018,29.12,0,14.2688
1556,Consumer,4909,Second Class,fynota,colddrinks,2,East,Fairfield,Ohio,45014,01-11-2018,01-11-2018,9.588,0.4,-2.0774
1557,Home Office,4445,Standard Class,kariox,watch,5,Central,Bloomington,Indiana,47401,01-11-2018,01-11-2018,78.35,0,36.8245
1558,Consumer,4312,Standard Class,kariox,phone,3,West,Los Angeles,California,90045,01-11-2018,01-11-2018,19.44,0,9.3312
1559,Consumer,4311,Standard Class,kariox,headset,3,West,Los Angeles,California,90045,01-11-2018,01-11-2018,21.936,0.2,8.226
1560,Consumer,4310,Standard Class,qexty,hoodies,4,West,Los Angeles,California,90045,01-11-2018,01-11-2018,573.728,0.2,-64.5444
1561,Consumer,4309,Standard Class,fynota,colddrinks,7,West,Los Angeles,California,90045,01-11-2018,01-11-2018,666.344,0.2,66.6344
1562,Consumer,2743,Standard Class,qexty,shorts,2,West,San Diego,California,92037,01-11-2018,01-11-2018,35.34,0,13.4292
1563,Corporate,2722,Second Class,kariox,battery,5,South,Cary,North Carolina,27511,01-11-2018,01-11-2018,58.24,0.2,5.096
1564,Corporate,2721,Second Class,kariox,lighting,3,South,Cary,North Carolina,27511,01-11-2018,01-11-2018,8.376,0.2,2.7222
1565,Consumer,4313,Standard Class,fynota,sweets,4,West,Los Angeles,California,90045,01-11-2018,01-11-2018,447.968,0.2,139.99
1566,Home Office,322,Standard Class,kariox,laptop,1,East,New York City,New York,10024,01-11-2018,01-11-2018,43.57,0,13.071
1567,Home Office,320,Standard Class,fynota,colddrinks,6,East,New York City,New York,10024,01-11-2018,01-11-2018,275.94,0,80.0226
1568,Home Office,319,Standard Class,fynota,sweets,2,East,New York City,New York,10024,01-11-2018,01-11-2018,3991.98,0,1995.99
1569,Home Office,318,Standard Class,qexty,tshirts,1,East,New York City,New York,10024,01-11-2018,01-11-2018,135.882,0.1,24.1568
1570,Home Office,9229,Same Day,kariox,television,4,West,Los Angeles,California,90049,01-11-2018,01-11-2018,6.72,0,3.36
1571,Corporate,9078,Standard Class,fynota,chocolates,3,Central,Omaha,Nebraska,68104,01-11-2018,01-11-2018,89.97,0,18.8937
1572,Corporate,8979,Second Class,kariox,headset,2,East,Orange,New Jersey,7050,01-11-2018,01-11-2018,5.76,0,2.8224
1573,Consumer,6433,Standard Class,qexty,shorts,3,South,Jacksonville,North Carolina,28540,01-11-2018,01-11-2018,410.352,0.2,-51.294
1574,Home Office,321,Standard Class,fynota,chocolates,4,East,New York City,New York,10024,01-11-2018,01-11-2018,360,0,129.6
1575,Consumer,6432,Standard Class,kariox,headset,7,South,Jacksonville,North Carolina,28540,01-11-2018,01-11-2018,14.301,0.7,-10.4874
1576,Home Office,4996,Standard Class,kariox,headset,4,East,New York City,New York,10011,01-11-2018,01-11-2018,52.064,0.2,18.8732
1577,Home Office,6684,Standard Class,qexty,shorts,6,West,Los Angeles,California,90008,01-11-2018,01-11-2018,20.04,0,8.8176
1578,Consumer,4832,Standard Class,kariox,laptop,3,Central,Wausau,Wisconsin,54401,01-11-2018,01-11-2018,36.63,0,9.8901
1579,Consumer,4831,Standard Class,kariox,battery,6,Central,Wausau,Wisconsin,54401,01-11-2018,01-11-2018,245.88,0,68.8464
1580,Consumer,4783,Standard Class,kariox,charger,7,Central,Houston,Texas,77070,01-11-2018,01-11-2018,40.712,0.2,3.5623
1581,Consumer,4782,Standard Class,kariox,headset,3,Central,Houston,Texas,77070,01-11-2018,01-11-2018,1.476,0.8,-2.214
1582,Consumer,4781,Standard Class,qexty,tshirts,4,Central,Houston,Texas,77070,01-11-2018,01-11-2018,683.144,0.3,0
1583,Consumer,4729,Standard Class,kariox,headset,7,West,San Francisco,California,94110,01-11-2018,01-11-2018,123.144,0.2,46.179
1584,Corporate,3187,First Class,kariox,watch,3,Central,Houston,Texas,77041,01-11-2018,01-11-2018,74.352,0.2,26.9526
1585,Corporate,5654,Standard Class,kariox,television,1,West,Long Beach,California,90805,01-11-2018,01-11-2018,2.94,0,0.7938
1586,Corporate,3186,First Class,kariox,headset,3,Central,Houston,Texas,77041,01-11-2018,01-11-2018,26.046,0.8,-44.2782
1587,Consumer,9787,Same Day,qexty,tshirts,5,South,Hampton,Virginia,23666,01-11-2018,01-11-2018,149.9,0,40.473
1588,Consumer,9715,Standard Class,fynota,chocolates,2,East,Philadelphia,Pennsylvania,19143,01-11-2018,01-11-2018,58.416,0.2,16.7946
1589,Consumer,9714,Standard Class,fynota,chocolates,5,East,Philadelphia,Pennsylvania,19143,01-11-2018,01-11-2018,51.56,0.2,-6.445
1590,Consumer,9713,Standard Class,kariox,laptop,6,East,Philadelphia,Pennsylvania,19143,01-11-2018,01-11-2018,1080.096,0.2,-94.5084
1591,Consumer,9712,Standard Class,kariox,headset,2,East,Philadelphia,Pennsylvania,19143,01-11-2018,01-11-2018,13.194,0.7,-8.796
1592,Consumer,9711,Standard Class,qexty,shorts,2,East,Philadelphia,Pennsylvania,19143,01-11-2018,01-11-2018,273.568,0.2,-34.196
1593,Home Office,8683,Standard Class,fynota,chocolates,3,South,Arlington,Virginia,22204,01-11-2018,01-11-2018,47.79,0,16.2486
1594,Consumer,9857,Standard Class,kariox,phone,6,South,Columbus,Georgia,31907,01-11-2018,01-11-2018,43.68,0,20.9664
1595,Consumer,6431,Standard Class,qexty,hoodies,6,South,Jacksonville,North Carolina,28540,01-11-2018,01-11-2018,945.036,0.4,-299.2614
